,0
0,"Leukemia, Lymphocytic, Chronic, B-Cell"
1,Colon Neoplasms
2,Breast Neoplasms
3,Leukemia
4,Lung Neoplasms
5,Colorectal Carcinoma
6,"Leukemia, Promyelocytic, Acute"
7,Pituitary Neoplasms
8,"Carcinoma, Hepatocellular"
9,"Cardiomyopathy, Hypertrophic"
10,Thyroid Neoplasms
11,Asthma
12,"Lymphoma, B-Cell"
13,Ovarian Neoplasms
14,Polycythemia Vera
15,"Leukemia, Myeloid, Acute"
16,Nasopharyngeal Neoplasms
17,Retinal Degeneration
18,"Carcinoma, Renal Cell"
19,Myelodysplastic Syndromes
20,Lupus Vulgaris
21,"Leukemia, Myeloid, Chronic-Phase"
22,Marek Disease
23,Atherosclerosis
24,Sepsis
25,Choriocarcinoma
26,Glomerulonephritis
27,Melanoma
28,"Diabetes Mellitus, Type 2"
29,"Lymphoma, Large-Cell, Anaplastic"
30,Pancreatic Neoplasms
31,Heart Failure
32,Hemangioma
33,Diabetes Mellitus
34,Hypertrophy
35,Glioblastoma
36,Lymphoma
37,"Leukemia-Lymphoma, Adult T-Cell"
38,"Carcinoma, Adrenocortical"
39,Mesothelioma
40,Hypertension
41,Preeclampsia
42,Urinary Bladder Cancer
43,Eosinophilic Esophagitis
44,Graves Disease
45,Prostate Neoplasms
46,Myocardial Infarction
47,Multiple Myeloma
48,Endometriosis
49,Primary Biliary Cirrhosis
50,Myasthenia Gravis
51,Multiple Sclerosis
52,Polycystic Kidney Disease
53,Parkinson Disease
54,Retinoblastoma
55,"Diabetes Mellitus, Type 1"
56,Crohn Disease
57,Sjogren Syndrome
58,Stroke
59,Arrhythmia
60,Coronary Artery Disease
61,Spinal Cord Injuries
62,"Stroke, Ischemic"
63,Obesity
64,Glioma
65,Cholangiocarcinoma
66,Polycystic Ovarian Syndrome
67,"Leukemia, Lymphoblastic, Acute"
68,Familial Mediterranean Fever
69,Acute Lung Injury
70,Lupus Nephritis
71,Kidney Neoplasms
72,Arthritis
73,Diabetic Nephropathy
74,Metabolic Syndrome
75,Muscle Atrophy
76,Head And Neck Neoplasms
77,"Scleroderma, Systemic"
78,"Muscular Dystrophy, Duchenne"
79,Hepatitis B Virus Infection
80,Acute Kidney Failure
81,"Tuberculosis, Pulmonary"
82,"Squamous Cell Carcinoma, Head and Neck"
83,Gastrointestinal Neoplasms
84,Giant Cell Tumor of Bone
85,Liver Cirrhosis
86,Osteoporosis
87,Chronic Kidney Disease
88,Esophageal Neoplasms
89,Endometrial Neoplasms
90,"Lymphoma, Large B-Cell, Diffuse"
91,Testicular Neoplasms
92,Machado-Joseph Disease
93,"Carcinoma, Nasopharyngeal"
94,Biliary Tract Neoplasms
95,Peripheral Vascular Disease
96,"Adenocarcinoma, Lung"
97,HELLP Syndrome
98,Adrenal Cortex Neoplasms
99,Immune Thrombocytopenic Purpura
100,Amyotrophic Lateral Sclerosis
101,Psoriasis
102,"Lymphoma, Non-Hodgkin"
103,Influenza
104,Irritable Bowel Syndrome
105,Osteosarcoma
106,Focal Segmental Glomerulosclerosis
107,"Carcinoma, Breast"
108,Endomyocardial Fibrosis
109,Intrahepatic Cholangiocarcinoma
110,"Lymphoma, T-Cell"
111,Acute Coronary Syndrome
112,Tuberculosis
113,Epilepsy
114,"Cardiomyopathy, Dilated"
115,Rectal Neoplasms
116,Vasculitis
117,Mycobacterium tuberculosis Infection
118,Liver Neoplasms
119,Synovial Sarcoma
120,Nephrotic Syndrome
121,Bronchopulmonary Dysplasia
122,Essential Hypertension
123,"Colitis, Ulcerative"
124,Ewing Sarcoma
125,Digestive System Neoplasms
126,Hirschsprung Disease
127,Glaucoma
128,Hepatoblastoma
129,Aplastic Anemia
130,Age-Related Macular Degeneration
131,Hematologic Neoplasms
132,Atrial Fibrillation
133,Arteriosclerosis Obliterans
134,Cardiomyopathy
135,"Neuralgia, Postherpetic"
136,"Aortic Aneurysm, Abdominal"
137,Osteoarthritis
138,Peripheral Nervous System Diseases
139,Cervical Neoplasms
140,Diabetic Cardiomyopathies
141,Friedreich Ataxia
142,Periodontitis
143,Azoospermia
144,Inflammatory Bowel Diseases
145,Liposarcoma
146,Diabetic Retinopathy
147,Congenital Heart Diseases
148,Cystic Fibrosis
149,Kawasaki Syndrome
150,"Leukemia, B-Cell"
151,Brain Neoplasms
152,"Carcinoma, Embryonal"
153,"Leukemia, Myeloid"
154,Tongue Neoplasms
155,Prion Diseases
156,Rhabdomyosarcoma
157,Medulloblastoma
158,"Fatty Liver, Alcoholic"
159,Inflammation
160,Atopic Dermatitis
161,Cardiomegaly
162,Down Syndrome
163,Hearing Loss
164,Cholesteatoma
165,Neurilemmoma
166,Migraine
167,"Carcinoma, Thyroid"
168,Waldenstrom Macroglobulinemia
169,Ischemia
170,Idiopathic Pulmonary Fibrosis
171,Pelvic Inflammatory Disease
172,Acquired Immunodeficiency Syndrome
173,Ependymoma
174,Neuroblastoma
175,Squamous Cell Carcinoma
176,"Carcinoma, Endometrial"
177,"Adenocarcinoma, Colon"
178,Chondrosarcoma
179,Soft Tissue Sarcoma
180,Gout
181,Habitual Abortion
182,Intracranial Aneurysm
183,Ossification of Posterior Longitudinal Ligament
184,Macular Degeneration
185,Infertility
186,"Lymphoma, Mantle-Cell"
187,Pterygium
188,Encephalomyelitis
189,Intervertebral Disc Degeneration
190,Colitis
191,Leiomyosarcoma
192,Gastrointestinal Stromal Tumor
193,Liver Failure
194,Pituitary Adenoma
195,Neuropathic Pain
196,Retinal Neovascularization
197,Adenovirus Infection
198,Astrocytoma
199,Laryngeal Neoplasms
200,Lipid Metabolism Disorder
201,Barrett Esophagus
202,Meningioma
203,Alopecia
204,Chordoma
205,"Carcinoma, Basal Cell"
206,Periodontal Diseases
207,Biliary Atresia
208,Oral Leukoplakia
209,Pheochromocytoma
210,Salivary Gland Neoplasms
211,Enterovirus Infection
212,Epstein-Barr Virus Infection
213,Aortic Aneurysm
214,Thrombosis
215,Neuroendocrine Tumors
216,"Leukemia, Myelogenous, Chronic, BCR-ABL Positive"
217,Digeorge Syndrome
218,Neurofibromatosis type 2
219,Ovarian Disease
220,Pneumonia
221,"Muscular Dystrophy, Facioscapulohumeral"
222,Lichen Planus
223,Leiomyoma
224,Patau Syndrome
225,Fibrosarcoma
226,Hemangiosarcoma
227,Odontogenic Tumors
228,"Lymphoma, Extranodal NK-T-Cell"
229,Malignant Peripheral Nerve Sheath Tumor
230,Epithelioid Sarcoma
231,Fever
232,Asthenozoospermia
233,Congenital Microtia
234,Angiomyolipoma
235,Sickle Cell Disease
236,Visceral Leishmaniasis
237,Burns
