,0
0,hsa-mir-29c
1,hsa-mir-502
2,hsa-mir-34a
3,hsa-mir-31
4,hsa-mir-107
5,hsa-mir-127
6,hsa-mir-148a
7,hsa-mir-1323
8,hsa-mir-181a
9,hsa-mir-1
10,hsa-mir-200b
11,hsa-mir-375
12,hsa-let-7d
13,hsa-mir-19b
14,hsa-mir-139
15,hsa-mir-99b
16,hsa-mir-185
17,hsa-mir-144
18,hsa-mir-302c
19,hsa-mir-16
20,hsa-mir-145
21,hsa-mir-513a
22,hsa-mir-488
23,hsa-mir-9
24,hsa-mir-125a
25,hsa-mir-151a
26,hsa-mir-125b
27,hsa-mir-569
28,hsa-mir-197
29,hsa-mir-128
30,hsa-mir-708
31,hsa-mir-1297
32,hsa-let-7f
33,hsa-mir-429
34,hsa-mir-122
35,hsa-mir-206
36,hsa-mir-205
37,hsa-mir-223
38,hsa-mir-497
39,hsa-mir-221
40,hsa-mir-143
41,hsa-mir-7
42,hsa-mir-20a
43,hsa-mir-383
44,hsa-let-7a
45,hsa-mir-203
46,hsa-mir-363
47,hsa-mir-200c
48,hsa-mir-340
49,hsa-mir-17
50,hsa-mir-192
51,hsa-mir-20b
52,hsa-mir-422a
53,hsa-mir-659
54,hsa-mir-30d
55,hsa-mir-361
56,hsa-mir-155
57,hsa-mir-124
58,hsa-mir-29b
59,hsa-mir-199a
60,hsa-mir-15a
61,hsa-mir-1231
62,hsa-mir-328
63,hsa-mir-15b
64,hsa-mir-625
65,hsa-mir-222
66,hsa-mir-151b
67,hsa-mir-132
68,hsa-mir-138
69,hsa-mir-432
70,hsa-mir-486
71,hsa-mir-199b
72,hsa-mir-519b
73,hsa-mir-126
74,hsa-mir-18b
75,hsa-mir-423
76,hsa-mir-181b
77,hsa-mir-140
78,hsa-mir-219
79,hsa-mir-29a
80,hsa-mir-212
81,hsa-mir-193a
82,hsa-mir-208a
83,hsa-mir-510
84,hsa-mir-21
85,hsa-mir-433
86,hsa-mir-191
87,hsa-mir-19a
88,hsa-mir-320a
89,hsa-mir-93
90,hsa-mir-574
91,hsa-mir-101
92,hsa-mir-874
93,hsa-mir-338
94,hsa-mir-146a
95,hsa-mir-92a
96,hsa-mir-378g
97,hsa-mir-200a
98,hsa-mir-326
99,hsa-mir-518e
100,hsa-let-7b
101,hsa-mir-214
102,hsa-mir-425
103,hsa-mir-18a
104,hsa-mir-202
105,hsa-mir-22
106,hsa-mir-24
107,hsa-mir-367
108,hsa-mir-204
109,hsa-mir-25
110,hsa-mir-34b
111,hsa-mir-509
112,hsa-mir-141
113,hsa-mir-1290
114,hsa-mir-661
115,hsa-mir-195
116,hsa-mir-30e
117,hsa-mir-615
118,hsa-mir-378c
119,hsa-mir-342
120,hsa-mir-378h
121,hsa-mir-134
122,hsa-mir-1293
123,hsa-mir-885
124,hsa-mir-376c
125,hsa-mir-137
126,hsa-mir-32
127,hsa-mir-519d
128,hsa-mir-485
129,hsa-mir-130b
130,hsa-mir-193b
131,hsa-mir-133b
132,hsa-mir-28
133,hsa-mir-296
134,hsa-mir-622
135,hsa-mir-218
136,hsa-mir-1246
137,hsa-mir-365a
138,hsa-let-7c
139,hsa-mir-1469
140,hsa-mir-196a
141,hsa-mir-133a
142,hsa-mir-373
143,hsa-mir-99a
144,hsa-mir-181c
145,hsa-mir-27b
146,hsa-mir-452
147,hsa-mir-499a
148,hsa-mir-483
149,hsa-mir-378i
150,hsa-mir-149
151,hsa-mir-491
152,hsa-mir-152
153,hsa-mir-302b
154,hsa-mir-542
155,hsa-mir-512
156,hsa-mir-1286
157,hsa-mir-302d
158,hsa-mir-26a
159,hsa-mir-224
160,hsa-mir-629
161,hsa-mir-451a
162,hsa-mir-26b
163,hsa-mir-765
164,hsa-mir-1256
165,hsa-mir-550a
166,hsa-mir-30a
167,hsa-mir-378b
168,hsa-mir-616
169,hsa-mir-129
170,hsa-mir-520g
171,hsa-mir-210
172,hsa-mir-642a
173,hsa-mir-526a
174,hsa-mir-186
175,hsa-mir-103b
176,hsa-mir-142
177,hsa-mir-198
178,hsa-mir-215
179,hsa-mir-370
180,hsa-mir-27a
181,hsa-mir-374b
182,hsa-mir-135a
183,hsa-let-7i
184,hsa-mir-519e
185,hsa-mir-520c
186,hsa-mir-96
187,hsa-mir-30c
188,hsa-mir-200
189,hsa-mir-10b
190,hsa-mir-339
191,hsa-mir-182
192,hsa-mir-767
193,hsa-mir-335
194,hsa-let-7e
195,hsa-mir-34c
196,hsa-mir-106a
197,hsa-mir-655
198,hsa-mir-23b
199,hsa-mir-646
200,hsa-mir-10a
201,hsa-mir-2355
202,hsa-mir-378a
203,hsa-mir-330
204,hsa-mir-194
205,hsa-mir-150
206,hsa-mir-501
207,hsa-mir-103a
208,hsa-mir-3130
209,hsa-mir-1287
210,hsa-mir-106b
211,hsa-mir-302a
212,hsa-mir-365b
213,hsa-mir-100
214,hsa-let-7g
215,hsa-mir-632
216,hsa-mir-513b
217,hsa-mir-520a
218,hsa-mir-381
219,hsa-mir-922
220,hsa-mir-153
221,hsa-mir-570
222,hsa-mir-196b
223,hsa-mir-571
224,hsa-mir-369
225,hsa-mir-608
226,hsa-mir-217
227,hsa-mir-95
228,hsa-mir-146b
229,hsa-mir-211
230,hsa-mir-1229
231,hsa-mir-642b
232,hsa-mir-517a
233,hsa-mir-187
234,hsa-mir-3186
235,hsa-mir-337
236,hsa-mir-630
237,hsa-mir-499b
238,hsa-mir-216a
239,hsa-mir-30b
240,hsa-mir-181d
241,hsa-mir-216b
242,hsa-mir-519c
243,hsa-mir-539
244,hsa-mir-498
245,hsa-mir-614
246,hsa-mir-520e
247,hsa-mir-184
248,hsa-mir-1245a
249,hsa-mir-525
250,hsa-mir-516b
251,hsa-mir-301a
252,hsa-mir-331
253,hsa-mir-148b
254,hsa-mir-135b
255,hsa-mir-1245b
256,hsa-mir-520b
257,hsa-mir-451
258,hsa-mir-584
259,hsa-mir-520d
260,hsa-mir-605
261,hsa-mir-663
262,hsa-mir-520h
263,hsa-mir-147a
264,hsa-mir-124a
265,hsa-mir-548d
266,hsa-mir-513c
267,hsa-mir-641
268,hsa-mir-183
269,hsa-mir-663a
270,hsa-mir-1224
271,hsa-mir-362
272,hsa-mir-519a
273,hsa-mir-938
274,hsa-mir-1915
275,hsa-mir-410
276,hsa-mir-652
277,hsa-mir-374a
278,hsa-mir-409
279,hsa-mir-372
280,hsa-mir-718
281,hsa-mir-4306
282,hsa-mir-590
283,hsa-mir-378f
284,hsa-mir-4257
285,hsa-mir-378e
286,hsa-mir-1280
287,hsa-mir-1266
288,hsa-mir-1207
289,hsa-mir-320d
290,hsa-mir-454
291,hsa-mir-1249
292,hsa-mir-33b
293,hsa-mir-495
294,hsa-mir-744
295,hsa-mir-583
296,hsa-mir-421
297,hsa-mir-449a
298,hsa-mir-1227
299,hsa-mir-593
300,hsa-mir-1254
301,hsa-mir-520f
302,hsa-mir-503
303,hsa-mir-621
304,hsa-mir-637
305,hsa-mir-648
306,hsa-mir-92b
307,hsa-mir-23a
308,hsa-mir-451b
309,hsa-mir-664
310,hsa-mir-324
311,hsa-mir-551a
312,hsa-mir-189
313,hsa-mir-345
314,hsa-mir-572
315,hsa-mir-1827
316,hsa-mir-323a
317,hsa-mir-511
318,hsa-mir-596
319,hsa-mir-1471
320,hsa-mir-492
321,hsa-mir-98
